 3D Run ID,L_c,L_d,h_d,C_cst
12,200,200,4,4.67E-10
13,200,200,6,3.13E-10
14,200,200,8,2.36E-10
15,200,200,10,1.90E-10
16,200,200,12,1.59E-10
17,200,200,14,1.37E-10
18,200,200,16,1.21E-10
19,200,200,18,1.08E-10
20,200,200,20,9.76E-11
21,200,200,22,8.92E-11
22,200,200,24,8.21E-11
23,200,200,26,7.62E-11
24,200,200,28,7.11E-11
25,200,200,30,6.66E-11
26,200,200,32,6.28E-11
27,200,200,34,5.94E-11
28,200,200,36,5.63E-11
29,200,200,38,5.36E-11
30,200,200,40,5.11E-11
31,200,200,42,4.89E-11
32,200,200,44,4.69E-11
33,200,200,46,4.51E-11
34,200,200,48,4.34E-11
35,200,200,50,4.18E-11
36,200,200,52,4.04E-11
37,200,200,54,3.90E-11
38,200,200,56,3.78E-11
39,200,200,58,3.67E-11
40,200,200,60,3.56E-11
41,200,200,62,3.46E-11
42,200,200,64,3.36E-11
43,200,200,66,3.28E-11
44,200,200,68,3.19E-11
45,200,200,70,3.11E-11
46,200,200,72,3.04E-11
47,200,200,74,2.97E-11
48,200,200,76,2.90E-11
49,200,200,78,2.84E-11
50,200,200,80,2.78E-11
51,200,200,82,2.72E-11
52,200,200,84,2.67E-11
53,200,200,86,2.62E-11
54,200,200,88,2.57E-11
55,200,200,90,2.52E-11
56,200,200,92,2.47E-11
57,200,200,94,2.43E-11
58,200,200,96,2.39E-11
59,200,200,98,2.35E-11
11,200,200,100,2.31E-11
10,200,200,120,2.00E-11
